doi,OA_color,issn,journal,publisher,date
10.1016/S2214-109X(17)30245-0,gold,2214-109X,The Lancet Global Health,Elsevier BV,2017-08-01
10.1177/17579759231205852,hybrid,"1757-9759,1757-9767",Global Health Promotion,SAGE Publications,2024-03-22
10.1177/1757975918820803,closed,"1757-9759,1757-9767",Global Health Promotion,SAGE Publications,2019-03-14
10.1186/s12992-018-0349-6,gold,1744-8603,Globalization and Health,Springer Science and Business Media LLC,2018-03-20
10.1016/j.aogh.2016.08.003,gold,2214-9996,Annals of Global Health,"Ubiquity Press, Ltd.",2016-12-14
10.1177/1757975910393163,green,"1757-9759,1757-9767",Global Health Promotion,SAGE Publications,2011-03-01
10.5334/aogh.3064,gold,2214-9996,Annals of Global Health,"Ubiquity Press, Ltd.",2022-01-01
10.1177/2333794X211057716,gold,"2333-794X,2333-794X",Global Pediatric Health,SAGE Publications,2021-01-01
10.1177/2333794X17744140,gold,"2333-794X,2333-794X",Global Pediatric Health,SAGE Publications,2017-01-01
10.5334/aogh.3386,gold,2214-9996,Annals of Global Health,"Ubiquity Press, Ltd.",2021-08-09
10.5334/aogh.3126,gold,2214-9996,Annals of Global Health,"Ubiquity Press, Ltd.",2020-01-01
10.1177/2333794X15595964,gold,"2333-794X,2333-794X",Global Pediatric Health,SAGE Publications,2015-01-01
10.1177/1757975915626112,closed,"1757-9759,1757-9767",Global Health Promotion,SAGE Publications,2016-05-12
10.1177/2333794X14548199,gold,"2333-794X,2333-794X",Global Pediatric Health,SAGE Publications,2014-01-01
10.1177/2333794X16660234,gold,"2333-794X,2333-794X",Global Pediatric Health,SAGE Publications,2016-01-01
10.1177/17579759231206795,closed,"1757-9759,1757-9767",Global Health Promotion,SAGE Publications,2023-11-21
10.1016/j.aogh.2016.07.008,gold,2214-9996,Annals of Global Health,"Ubiquity Press, Ltd.",2017-03-08
10.1186/s12992-017-0313-x,gold,1744-8603,Globalization and Health,Springer Science and Business Media LLC,2017-12-01
10.1177/2333794X221105261,gold,"2333-794X,2333-794X",Global Pediatric Health,SAGE Publications,2022-01-01
10.7189/jogh.12.11001,gold,"2047-2978,2047-2986",Journal of Global Health,International Society of Global Health,2022-02-26
10.1177/2333794X15615771,gold,"2333-794X,2333-794X",Global Pediatric Health,SAGE Publications,2016-01-01
10.1177/2333794X17712637,gold,"2333-794X,2333-794X",Global Pediatric Health,SAGE Publications,2017-01-01
10.1177/2333794X19857378,gold,"2333-794X,2333-794X",Global Pediatric Health,SAGE Publications,2019-01-01
10.5334/aogh.3432,gold,2214-9996,Annals of Global Health,"Ubiquity Press, Ltd.",2021-01-01
10.1186/s12992-018-0448-4,gold,1744-8603,Globalization and Health,Springer Science and Business Media LLC,2019-01-08
10.5334/aogh.2934,gold,2214-9996,Annals of Global Health,"Ubiquity Press, Ltd.",2020-11-18
10.1186/s12992-016-0202-8,gold,1744-8603,Globalization and Health,Springer Science and Business Media LLC,2016-10-11
10.1177/2333794X16667175,gold,"2333-794X,2333-794X",Global Pediatric Health,SAGE Publications,2016-01-01
10.5334/aogh.4341,gold,2214-9996,Annals of Global Health,"Ubiquity Press, Ltd.",2024-01-01
10.5334/aogh.3859,gold,2214-9996,Annals of Global Health,"Ubiquity Press, Ltd.",2022-09-07
10.1186/s12992-018-0342-0,gold,1744-8603,Globalization and Health,Springer Science and Business Media LLC,2018-03-01
10.1186/s12992-017-0311-z,gold,1744-8603,Globalization and Health,Springer Science and Business Media LLC,2017-12-01
10.7189/jogh.08.020802,gold,"2047-2978,2047-2986",Journal of Global Health,International Global Health Society,2018-09-19
10.1080/17441692.2019.1587638,closed,"1744-1692,1744-1706",Global Public Health,Informa UK Limited,2019-03-04
10.1177/1757975920963889,closed,"1757-9759,1757-9767",Global Health Promotion,SAGE Publications,2020-10-25
10.1186/s12992-017-0302-0,gold,1744-8603,Globalization and Health,Springer Science and Business Media LLC,2017-10-17
10.1186/s12992-016-0165-9,gold,1744-8603,Globalization and Health,Springer Science and Business Media LLC,2016-06-14
10.7189/jogh.07.020415,gold,"2047-2978,2047-2986",Journal of Global Health,International Global Health Society,2017-12-01
10.7189/jogh.08.020807,gold,"2047-2978,2047-2986",Journal of Global Health,International Global Health Society,2018-09-19
10.1186/s12992-019-0539-x,gold,1744-8603,Globalization and Health,Springer Science and Business Media LLC,2020-01-14
10.3402/gha.v9.31440,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2016-05-23
10.7189/jogh.14.04049,gold,"2047-2978,2047-2986",Journal of Global Health,International Society of Global Health,2024-02-23
10.7189/jogh.06.010410,gold,"2047-2978,2047-2986",Journal of Global Health,International Global Health Society,2016-02-28
10.1186/s12992-023-01004-w,gold,1744-8603,Globalization and Health,Springer Science and Business Media LLC,2023-12-11
10.7189/jogh.08.010802,gold,"2047-2978,2047-2986",Journal of Global Health,International Global Health Society,2018-06-01
10.1080/17441692.2018.1524921,hybrid,"1744-1692,1744-1706",Global Public Health,Informa UK Limited,2018-09-21
10.1080/17441692.2012.719533,green,"1744-1692,1744-1706",Global Public Health,Informa UK Limited,2013-07-26
10.1186/s12992-018-0339-8,gold,1744-8603,Globalization and Health,Springer Science and Business Media LLC,2018-02-09
10.7189/jogh.12.11013,gold,"2047-2978,2047-2986",Journal of Global Health,International Society of Global Health,2022-12-17
10.7189/jogh.09.010812,gold,"2047-2978,2047-2986",Journal of Global Health,International Global Health Society,2019-06-01
10.7189/jogh.04.020409,,,,,
10.1080/16549716.2023.2188686,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2023-03-17
10.1186/s12992-021-00677-5,gold,1744-8603,Globalization and Health,Springer Science and Business Media LLC,2021-05-20
10.3402/gha.v9.29890,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2016-02-08
10.7189/jogh.11.04016,gold,"2047-2978,2047-2986",Journal of Global Health,International Global Health Society,2021-03-07
10.1186/s12992-018-0400-7,gold,1744-8603,Globalization and Health,Springer Science and Business Media LLC,2018-08-15
10.1080/16549716.2021.1893502,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2021-01-01
10.7189/jogh.13.04026,gold,"2047-2978,2047-2986",Journal of Global Health,International Society of Global Health,2023-04-14
10.1186/s12992-017-0243-7,gold,1744-8603,Globalization and Health,Springer Science and Business Media LLC,2017-03-21
10.1080/17441692.2017.1407812,closed,"1744-1692,1744-1706",Global Public Health,Informa UK Limited,2017-11-28
10.7189/jogh.11.04017,gold,"2047-2978,2047-2986",Journal of Global Health,International Society of Global Health,2021-03-27
10.7189/jogh.09.010435,gold,"2047-2978,2047-2986",Journal of Global Health,International Global Health Society,2019-06-01
10.1080/17441692.2023.2290117,gold,"1744-1692,1744-1706",Global Public Health,Informa UK Limited,2023-12-20
10.1080/17441692.2022.2095656,green,"1744-1692,1744-1706",Global Public Health,Informa UK Limited,2022-07-04
10.1080/16549716.2018.1451455,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2018-01-01
10.3402/gha.v9.29417,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2016-02-17
10.1080/16549716.2020.1802952,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2020-08-25
10.1080/17441692.2019.1704819,hybrid,"1744-1692,1744-1706",Global Public Health,Informa UK Limited,2020-01-09
10.7189/jogh.12.04100,gold,"2047-2978,2047-2986",Journal of Global Health,International Society of Global Health,2022-12-16
10.1186/s12992-019-0451-4,gold,1744-8603,Globalization and Health,Springer Science and Business Media LLC,2019-02-01
10.1080/17441692.2015.1062904,closed,"1744-1692,1744-1706",Global Public Health,Informa UK Limited,2015-08-03
10.1080/17441692.2015.1130847,hybrid,"1744-1692,1744-1706",Global Public Health,Informa UK Limited,2016-01-19
10.3402/gha.v8.29553,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2015-12-01
10.1136/bmjgh-2020-004075,gold,2059-7908,BMJ Global Health,BMJ,2021-01-01
10.1371/journal.pgph.0001628,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2023-05-31
10.1080/16549716.2023.2241808,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2023-08-09
10.7189/jogh.13.04077,gold,"2047-2978,2047-2986",Journal of Global Health,International Society of Global Health,2023-08-04
10.1136/bmjgh-2023-014140,gold,2059-7908,BMJ Global Health,BMJ,2024-02-01
10.3402/gha.v5i0.18892,green,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2012-12-01
10.7189/jogh.07.020409,gold,"2047-2978,2047-2986",Journal of Global Health,International Global Health Society,2017-11-24
10.7189/jogh.12.04086,gold,"2047-2978,2047-2986",Journal of Global Health,International Society of Global Health,2022-10-14
10.7189/jogh.06.010402,gold,"2047-2978,2047-2986",Journal of Global Health,International Global Health Society,2016-02-08
10.1080/16549716.2019.1656451,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2019-01-01
10.3402/gha.v7.25519,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2014-10-15
10.1080/16549716.2019.1603515,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2018-11-23
10.3402/gha.v7.25264,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2014-09-11
10.1080/17441692.2020.1780290,green,"1744-1692,1744-1706",Global Public Health,Informa UK Limited,2020-06-17
10.3402/gha.v6i0.20791,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2013-12-01
10.1080/17441692.2012.699539,green,"1744-1692,1744-1706",Global Public Health,Informa UK Limited,2012-07-19
10.1080/16549716.2019.1600858,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2019-01-01
10.3402/gha.v5i0.14876,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2012-06-27
10.7189/jogh.13.04039,gold,"2047-2978,2047-2986",Journal of Global Health,International Society of Global Health,2023-05-05
10.7189/jogh.11.04047,gold,"2047-2978,2047-2986",Journal of Global Health,International Society of Global Health,2021-07-17
10.1371/journal.pgph.0000726,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2022-08-30
10.1080/16549716.2018.1494897,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2018-01-01
10.1080/16549716.2017.1342454,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2017-01-01
10.1080/16549716.2019.1581466,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2019-01-01
10.1080/16549716.2018.1510592,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2018-01-01
10.1080/16549716.2017.1331539,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2017-01-01
10.1080/16549716.2020.1786997,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2020-07-30
10.3402/gha.v7.25169,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2014-08-19
10.3402/gha.v6i0.18937,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2013-01-28
10.7189/jogh.12.10007,gold,"2047-2978,2047-2986",Journal of Global Health,International Society of Global Health,2022-11-12
10.3402/gha.v9.30334,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2016-05-10
10.3402/gha.v7.25323,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2014-12-01
10.3402/gha.v7.24919,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2014-08-04
10.1080/17441692.2023.2274436,gold,"1744-1692,1744-1706",Global Public Health,Informa UK Limited,2023-01-02
10.1080/17441692.2019.1675081,closed,"1744-1692,1744-1706",Global Public Health,Informa UK Limited,2019-10-11
10.7189/jogh.12.12007,gold,"2047-2978,2047-2986",Journal of Global Health,International Society of Global Health,2022-12-29
10.1080/16549716.2017.1297604,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2017-01-01
10.3402/gha.v6i0.18857,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2013-02-01
10.1080/17441692.2021.1928260,closed,"1744-1692,1744-1706",Global Public Health,Informa UK Limited,2021-05-21
10.1080/16549716.2020.1833511,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2020-10-29
10.1080/16549716.2018.1477249,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2018-01-01
10.1080/16549716.2017.1287334,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2017-01-01
10.3402/gha.v8.26282,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2015-01-22
10.7189/jogh.12.04008,gold,"2047-2978,2047-2986",Journal of Global Health,International Society of Global Health,2022-02-05
10.7189/jogh.11.12002,gold,"2047-2978,2047-2986",Journal of Global Health,International Global Health Society,2021-11-27
10.7189/jogh.11.12004,gold,"2047-2978,2047-2986",Journal of Global Health,International Global Health Society,2021-11-27
10.7189/jogh.05.010404,green,"2047-2978,2047-2986",Journal of Global Health,International Global Health Society,2015-01-23
10.1371/journal.pgph.0000002,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2022-06-30
10.1080/17441692.2021.1923776,hybrid,"1744-1692,1744-1706",Global Public Health,Informa UK Limited,2021-05-08
10.7189/jogh.12.04004,gold,"2047-2978,2047-2986",Journal of Global Health,International Global Health Society,2022-02-05
10.7189/jogh.08.010401,,,,,
10.3402/gha.v9.31362,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2016-07-15
10.1371/journal.pgph.0001495,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2023-11-17
10.1080/16549716.2021.1923327,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2021-01-01
10.1080/17441692.2015.1080750,closed,"1744-1692,1744-1706",Global Public Health,Informa UK Limited,2016-02-19
10.1080/16549716.2020.1794107,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2020-08-03
10.1080/16549716.2020.1772560,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2020-06-30
10.7189/jogh.11.12003,gold,"2047-2978,2047-2986",Journal of Global Health,International Global Health Society,2021-11-27
10.3402/gha.v7.24887,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2014-09-01
10.3402/gha.v7.25310,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2014-08-25
10.1080/16549716.2021.1952753,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2021-01-01
10.1371/journal.pgph.0001422,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2023-05-24
10.1371/journal.pgph.0000066,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2021-11-12
10.1080/16549716.2020.1827363,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2020-10-20
10.1080/16549716.2020.1806527,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2020-09-01
10.1080/16549716.2022.2077904,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2022-07-01
10.1080/16549716.2020.1802136,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2020-08-20
10.7189/jogh.12.12005,gold,"2047-2978,2047-2986",Journal of Global Health,International Society of Global Health,2022-10-18
10.1371/journal.pgph.0002929,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2024-03-06
10.1371/journal.pgph.0001849,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2023-05-05
10.1371/journal.pgph.0000531,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2022-09-20
10.7189/jogh.11.12001,gold,"2047-2978,2047-2986",Journal of Global Health,International Global Health Society,2021-11-27
10.1016/S2214-109X(19)30031-2,gold,2214-109X,The Lancet Global Health,Elsevier BV,2019-05-01
10.1080/17441692.2011.621964,green,"1744-1692,1744-1706",Global Public Health,Informa UK Limited,2012-02-01
10.1080/16549716.2019.1568827,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2019-01-01
10.1080/16549716.2019.1625594,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2018-11-23
10.7189/jogh.09.010808,gold,"2047-2978,2047-2986",Journal of Global Health,International Global Health Society,2019-06-01
10.7189/jogh.08.020806,gold,"2047-2978,2047-2986",Journal of Global Health,International Global Health Society,2018-09-19
10.7189/jogh.13.04146,gold,"2047-2978,2047-2986",Journal of Global Health,International Society of Global Health,2023-12-08
10.7189/jogh.04.020411,gold,"2047-2978,2047-2986",Journal of Global Health,International Global Health Society,2014-12-01
10.1371/journal.pgph.0001911,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2023-10-20
10.1080/17441692.2020.1775868,green,"1744-1692,1744-1706",Global Public Health,Informa UK Limited,2020-06-04
10.1371/journal.pgph.0000268,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2022-03-09
10.1371/journal.pgph.0000295,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2022-04-26
10.1080/16549716.2017.1329968,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2017-01-01
10.1136/bmjgh-2022-009250,gold,2059-7908,BMJ Global Health,BMJ,2022-07-01
10.3402/gha.v6i0.21618,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2013-12-01
10.1371/journal.pgph.0002678,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2023-12-05
10.1371/journal.pgph.0002000,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2023-10-23
10.1371/journal.pgph.0000705,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2023-05-08
10.1371/journal.pgph.0000598,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2022-07-01
10.1371/journal.pgph.0000063,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2022-03-03
10.1371/journal.pgph.0002292,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2023-09-27
10.3402/gha.v8.29019,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2015-11-24
10.7189/jogh.13.01003,gold,"2047-2978,2047-2986",Journal of Global Health,International Society of Global Health,2023-02-17
10.7189/jogh.11.04051,gold,"2047-2978,2047-2986",Journal of Global Health,International Global Health Society,2021-09-04
10.1371/journal.pgph.0001818,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2023-05-10
10.1371/journal.pgph.0001288,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2023-01-17
10.1371/journal.pgph.0000453,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2022-10-17
10.1371/journal.pgph.0000572,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2022-06-09
10.1080/17441692.2022.2092176,green,"1744-1692,1744-1706",Global Public Health,Informa UK Limited,2022-06-30
10.1080/17441692.2018.1501079,green,"1744-1692,1744-1706",Global Public Health,Informa UK Limited,2018-07-20
10.1371/journal.pgph.0001884,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2023-12-19
10.1371/journal.pgph.0000659,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2022-08-16
10.1080/16549716.2020.1870421,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2021-01-01
10.3402/gha.v6i0.21105,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2013-06-20
10.7189/jogh.06.020405,gold,"2047-2978,2047-2986",Journal of Global Health,International Global Health Society,2016-09-16
10.1080/16549716.2019.1685809,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2019-01-01
10.3402/gha.v9.29207,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2016-03-01
10.3402/gha.v8.26243,green,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2015-05-11
10.3402/gha.v7.23848,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2014-05-13
10.1371/journal.pgph.0001777,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2023-12-11
10.1371/journal.pgph.0001597,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2023-02-22
10.1371/journal.pgph.0000864,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2022-08-05
10.7189/jogh.08.020406,gold,"2047-2978,2047-2986",Journal of Global Health,International Global Health Society,2018-07-07
10.1080/17441692.2013.810766,green,"1744-1692,1744-1706",Global Public Health,Informa UK Limited,2013-07-04
10.1371/journal.pgph.0002514,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2023-11-20
10.1371/journal.pgph.0001950,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2023-07-26
10.1371/journal.pgph.0000516,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2022-05-31
10.1371/journal.pgph.0001887,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2023-09-20
10.1371/journal.pgph.0001755,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2023-12-27
10.1371/journal.pgph.0002217,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2023-10-13
10.1371/journal.pgph.0001609,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2023-07-17
10.1080/16549716.2023.2212949,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2023-05-17
10.1080/16549716.2020.1740419,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2020-03-19
10.3402/gha.v8.26080,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2015-01-23
10.7189/jogh.13.04023,gold,"2047-2978,2047-2986",Journal of Global Health,International Society of Global Health,2023-03-10
10.1080/16549716.2019.1685808,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2019-01-01
10.1371/journal.pgph.0002357,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2023-09-27
10.1371/journal.pgph.0002826,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2024-01-19
10.1371/journal.pgph.0001399,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2023-06-06
10.1371/journal.pgph.0000568,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2022-06-15
10.7189/jogh.10.021002,,,,,
10.1080/16549716.2018.1517930,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2018-01-01
10.1080/16549716.2018.1503784,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2018-01-01
10.3402/gha.v8.26769,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2015-02-16
10.7189/jogh.07.011101,,,,,
10.1016/S2214-109X(21)00393-4,gold,2214-109X,The Lancet Global Health,Elsevier BV,2021-12-01
10.1080/16549716.2021.1940763,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2021-01-01
10.1371/journal.pgph.0002073,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2023-07-03
10.1371/journal.pgph.0000449,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2023-02-08
10.1371/journal.pgph.0000563,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2022-08-03
10.1371/journal.pgph.0002622,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2024-04-03
10.7189/jogh.11.05019,gold,"2047-2978,2047-2986",Journal of Global Health,International Global Health Society,2021-07-17
10.7189/jogh.13.04058,gold,"2047-2978,2047-2986",Journal of Global Health,International Society of Global Health,2023-06-16
10.3402/gha.v6i0.18876,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2013-01-18
10.7189/jogh.12.12003,gold,"2047-2978,2047-2986",Journal of Global Health,International Society of Global Health,2022-10-21
10.1371/journal.pgph.0000358,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2022-04-11
10.1080/16549716.2017.1385284,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2017-01-01
10.1371/journal.pgph.0001779,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2023-04-17
10.1371/journal.pgph.0000460,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2022-09-09
10.7189/jogh.13.04065,gold,"2047-2978,2047-2986",Journal of Global Health,International Society of Global Health,2023-06-09
10.7189/jogh.05.010401,green,"2047-2978,2047-2986",Journal of Global Health,International Global Health Society,2015-01-23
10.7189/jogh.12.05039,gold,"2047-2978,2047-2986",Journal of Global Health,International Society of Global Health,2022-11-08
10.7189/jogh.07.010408,gold,"2047-2978,2047-2986",Journal of Global Health,International Global Health Society,2017-03-18
10.1371/journal.pgph.0000826,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2022-10-11
10.7189/jogh.11.15002,,,,,
10.7189/jogh.13.06010,gold,"2047-2978,2047-2986",Journal of Global Health,International Society of Global Health,2023-07-14
10.7189/jogh.12.12002,gold,"2047-2978,2047-2986",Journal of Global Health,International Global Health Society,2022-07-25
10.7189/jogh.03.020403,gold,"2047-2978,2047-2986",Journal of Global Health,International Society of Global Health,2013-12-01
10.7189/jogh.12.12001,gold,"2047-2978,2047-2986",Journal of Global Health,International Global Health Society,2022-07-16
10.7189/jogh.11.11001,gold,"2047-2978,2047-2986",Journal of Global Health,International Global Health Society,2021-07-10
10.7189/jogh.14.04058,green,"2047-2978,2047-2986",Journal of Global Health,International Society of Global Health,2024-04-12
10.1371/journal.pgph.0000278,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2022-04-18
10.1371/journal.pgph.0001295,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2022-12-05
10.3402/gha.v7.23719,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2014-08-21
10.1371/journal.pgph.0002539,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2023-12-18
10.1136/bmjgh-2018-001200,gold,2059-7908,BMJ Global Health,BMJ,2019-12-01
10.1016/S2214-109X(20)30044-9,gold,2214-109X,The Lancet Global Health,Elsevier BV,2020-04-01
10.1371/journal.pgph.0000694,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2023-05-25
10.1371/journal.pgph.0001638,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2024-01-08
10.1371/journal.pgph.0000253,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2022-03-25
10.1371/journal.pgph.0000356,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2022-05-03
10.1371/journal.pgph.0001072,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2022-09-15
10.1136/bmjgh-2021-007271,gold,2059-7908,BMJ Global Health,BMJ,2021-11-01
10.1371/journal.pgph.0002693,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2024-02-27
10.1371/journal.pgph.0000376,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2022-05-04
10.1371/journal.pgph.0002703,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2024-04-11
10.1371/journal.pgph.0001326,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2023-11-07
10.1371/journal.pgph.0002676,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2023-12-04
10.1371/journal.pgph.0001598,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2023-02-23
10.1371/journal.pgph.0002731,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2024-01-18
10.7189/jogh.12.04030,gold,"2047-2978,2047-2986",Journal of Global Health,International Society of Global Health,2022-04-09
10.1371/journal.pgph.0002972,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2024-03-07
10.1371/journal.pgph.0002065,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2024-01-31
10.1371/journal.pgph.0001860,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2024-01-08
